"puesto","NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento","dias.salio.cambio","salio.por.cambio","sueldo.max.fit","sueldo.min.fit","puesto.fit"
"PRELIMINAR B",11992,6,"PESPUNTE","femenino","LEON",3,900,21,"Secundaria",2016-07-28,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10062,28,"MONTADO","masculino","LEON",4,950,26,"Primaria",2014-02-07,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11104,11,"CORTE","masculino","LEON",3,900,20,"Secundaria",2015-07-06,2,0,"PRELIMINAR A-B",2,0,2,1,900,1000,100,0,2,1,1000,900,"B-PRELIMINAR"
"PRELIMINAR B",10857,0,"MONTADO","femenino","LEON",3,900,18,"Primaria",2015-04-07,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11669,29,"PESPUNTE","femenino","LEON",1,1000,40,"Primaria",2016-05-10,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",12064,5,"PREPARADO","femenino","LEON",3,1000,31,"Secundaria",2016-09-02,4,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",10022,29,"MONTADO","masculino","LEON",3,900,18,"Primaria",2014-01-21,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10653,100,"MONTADO","masculino","LEON",3,950,18,"Primaria",2014-11-05,2,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,950,950,"B-PRELIMINAR"
"PRELIMINAR B",11629,7,"PREPARADO","femenino","LEON",3,900,17,"Primaria",2016-05-17,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11764,10,"PREPARADO","femenino","LEON",3,900,16,"Ninguno",2016-05-31,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",12051,20,"PESPUNTE","femenino","LEON",3,1000,28,"Ninguno",2016-08-25,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"B-PRELIMINAR"
"PRELIMINAR B",8366,236,"PESPUNTE","masculino","LEON",3,900,23,"Secundaria",2012-05-18,3,7,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10256,24,"MONTADO","masculino","LEON",1,900,25,"Secundaria",2014-05-27,3,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",10664,242,"MONTADO","masculino","LEON",3,900,22,"Primaria",2014-11-17,3,8,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",11076,52,"PESPUNTE","femenino","LEON",3,900,21,"Secundaria",2015-06-30,3,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9901,134,"MONTADO","masculino","LEON",3,900,21,"Secundaria",2013-10-15,3,4,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,35,0,900,900,"B-PRELIMINAR"
"PRELIMINAR B",9874,28,"PESPUNTE","femenino","LEON",3,453.32,20,"Primaria",2013-10-02,2,0,"PRELIMINAR A-B",2,0,1,0,453.32,453.32,0,0,1,1,453.32,453.32,"B-PRELIMINAR"
"PRELIMINAR B",10948,33,"PESPUNTE","masculino","LEON",3,900,17,"Primaria",2015-05-08,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"B-PRELIMINAR"
