"NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","puesto","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento"
8145,1788,"AVIO","masculino","LEON",3,1150,"FORRAR",21,"Primaria",2012-02-20,3,59,"PRELIMINAR C",5,1,6,3,850,1150,300,1576
8147,248,"AVIO","femenino","LEON",3,850,"EMBARRADOR SUELA",24,"Secundaria",2012-02-21,3,8,"PRELIMINAR C",5,0,1,0,850,850,0,0
8148,155,"AVIO","masculino","SILAO",4,1000,"EMBARRADOR SUELA",23,"Primaria",2014-04-28,3,5,"PRELIMINAR C",5,1,4,2,900,1000,100,771
8155,287,"CORTE","masculino","LEON",1,1400,"CORTADOR",62,"Primaria",2012-02-22,7,9,"CORTADOR",3,0,1,0,1400,1400,0,0
8157,42,"AVIO","masculino","LEON",4,850,"PRELIMINAR C",26,"Secundaria",2014-06-09,3,1,"PRELIMINAR C",5,0,1,0,850,850,0,0
8164,46,"MONTADO","masculino","LEON",1,850,"FIJAR",24,"Secundaria",2012-02-23,3,1,"PRELIMINAR C",5,0,1,0,850,850,0,0
8166,120,"AVIO","femenino","SILAO",1,800,"PRELIMINAR C",29,"Primaria",2012-02-23,3,4,"PRELIMINAR C",5,1,2,0,800,800,0,0
8167,123,"AVIO","masculino","LEON",4,1000,"FORRADOR",24,"Primaria",2012-02-28,3,4,"PRELIMINAR C",5,0,1,0,1000,1000,0,0
8172,400,"MANUALIDADES","masculino","LEON",3,1000,"CORTADOR LASSER",23,"Preparatoria",2012-02-28,3,13,"CORTADOR",3,2,3,0,1000,1000,0,0
8173,139,"CORTE","masculino","LEON",3,1500,"CORTADOR FLASH",21,"Primaria",2016-05-19,3,4,"CORTADOR",3,4,11,4,800,1500,700,1571
8176,15,"PREPARADO","masculino","LEON",3,1400,"CORTADOR",41,"Secundaria",2014-02-20,5,0,"CORTADOR",3,3,12,4,453.32,1500,1046.68,672
